id,type,character,pos_x,pos_y,scale,eye,eye_brows,mouse,option1,option2,option3,voice,font_size,words,choices,target_flag,jump_ids
1001001,appear,yukari,,,,normal,normal,smile,,,,,,,,,
1001002,play_bgm,,,,,,,,,,,bgm_maoudamashii_acoustic30,,,,,
1001003,talk,yukari,,,,smile,normal,laugh,blunder,,,train-0,,先生、温泉ですよ！温泉！\nあぁ～、楽しみですね！,,,
1001004,talk,yukari,,,,normal,normal,mu,question,,,train-1,,先生？どうかしましたか？\nなんだか、浮かない様子ですね。,,,
1001005,talk,yukari,,,,close,normal,laugh,oxtu,,,train-2,,あっ、さては、今朝の事を思いだしているんじゃないですか？,,,
1001006,talk,yukari,,,,close,sad,oxtu,breath,,,train-3,,高城刑事にも困ったものですよね。\n3月のあの事件、ようやく解決ですもん。,,,
1001007,talk,yukari,,,,half_open,anger,oxtu,,,,train-4,,あの時は、私たちがたまたま現場に居合わせて、先生の推理でズバッっと解決したのに…,,,
1001008,talk,yukari,,,,close,normal,mu,,,,train-5,,高城刑事、犯人取り逃がしちゃいましたからね。,,,
1001009,talk,yukari,,,,smile,normal,laugh,,,,train-6,,でも、6月になってようやく逮捕できたのは良かったです！,,,
1001010,talk,yukari,,,,smile,normal,laugh,laugh,,,train-7,,それに、高城刑事も『お礼に』って旅行に連れてってくれますし！,,,
1001011,talk,yukari,,,,half_open,doya,cat,flash,,,train-8,,あっ、もしかして…先生、旅行に行くのが嫌なんですか？,,,
1001012,talk,yukari,,,,close_2,normal,awawa,sweat_3,,,train-9,,あはは…。\nでももう諦めてくださいよ。\n汽車、乗っちゃってますし。,,,
1001013,talk,yukari,,,,close_3,normal,awawa,sweat_4,,,train-10,,あはは…。\nでももう諦めてくださいよ。\n汽車、乗っちゃってますし。,,,
1001014,back_effect,sepia,,,,,,,,,,,,,,,
1001015,talk,yukari,,,,sprise_white,normal,cat,,,,train-10,,そろそろ、お腹空いてきましたね。,,,
1001016,appear,takagi,512,384,,,,,,,,,,,,,
1001017,talk,takagi,,,,,,,,,,takagi-train-0,,ふあぁぁあ…よく寝た。,,,
1001018,talk,yukari,,,,smile,normal,laugh,,,,train-11,,あっ、高城刑事！\nおはようございます。,,,
1001019,talk,takagi,,,,,,,,,,takagi-train-1,,ああ、ゆかりくん。おはよう。,,,
1001020,talk,takagi,,,,,,,,,,takagi-train-2,,ずいぶんと寝ていたようだね。身体が痛いよ。,,,
1001021,talk,takagi,,,,,,,,,,takagi-train-3,,ところで、汽車は今、どの辺を走っているかわかるかね？,,,
1001022,talk,yukari,,,,normal,normal,o,,,,train-12,,え～とですね、確か県境を越えたあたりだったと思います。,,,
1001023,back_effect,,,,,,,,,,,,,,,,
1001024,talk,yukari,,,,normal,normal,smile,,,,train-13,,前の駅から大体1時間くらい経ってますね。,,,
1001025,talk,takagi,,,,,,,,,,takagi-train-4,,ありがとう。\nとなると予定通り13時には、奥山駅に着きそうだ。,,,
1001026,talk,yukari,,,,smile,normal,laugh,laugh,,,train-14,,そうですね。\n着いたらお昼にしましょう！\nもう、お腹ぺこぺこです。,,,
1001027,talk,takagi,,,,,,,,,,takagi-train-5,,そうだね。\n駅の近くに、確か蕎麦屋があったはずだ。\nそこで食べよう。,,,
1001028,talk,,,,,,,,,,,,,はしゃぐ二人を尻目に、窓の方に顔を向ける。,,,
1001029,talk,,,,,,,,,,,,,汽車の窓から見る景色は、どこまでも山と森であった。,,,
1001030,choice_item,,,,,,,,,,,,,,パイプ/傘,,1001033/1001035
1001031,talk,yukari,,,,normal,normal,mu,question,,,train-1,,それがどうかしましたか？,,,
1001032,jump,,,,,,,,,,,,,,,,1001030
1001033,talk,yukari,,,,smile,normal,laugh,laugh,,,train-14,,パイプですね,,,
1001034,jump,,,,,,,,,,,,,,,,1001030
1001035,talk,yukari,,,,smile,normal,laugh,laugh,,,train-14,,傘ですね,,,
1001036,jump,,,,,,,,,,,,,最初にジャンプ,,,1001001
